# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
160		1790		39259		3349
161		1795		39264		3349
162		1794		39275		3350
163		1792		39285		3352
164		1788		39297		3352
165		1787		39318		3354
166		1791		39333		3353
167		1788		39362		3355
168		1787		39383		3353
169		1792		39401		3351
170		1792		39426		3356
171		1795		39457		3349
172		1792		39480		3346
173		1791		39513		3351
174		1786		39551		3349
175		1789		39579		3345
176		1788		39617		3348
177		1785		39645		3345
178		1789		39680		3344
179		1788		39708		3339
180		1778		39735		3340
181		1783		39762		3343
182		1781		39803		3341
183		1789		39841		3344
184		1794		39889		3344
185		1793		39935		3343
186		1795		39982		3348
187		1793		40026		3347
188		1792		40076		3350
189		1793		40133		3342
190		1798		40195		3351
191		1784		40242		3353
192		1774		40279		3352
193		1763		40322		3351
194		1751		40350		3352
195		1755		40370		3355
196		1754		40403		3351
197		1747		40434		3359
198		1747		40464		3351
199		1738		40486		3355
200		1735		40519		3355
201		1736		40544		3350
202		1738		40562		3353
203		1733		40582		3351
204		1734		40610		3352
205		1737		40628		3353
206		1731		40658		3349
207		1725		40683		3350
208		1727		40702		3349
209		1728		40719		3346
210		1729		40730		3346
211		1730		40748		3346
212		1726		40768		3350
213		1721		40790		3350
214		1721		40807		3349
215		1722		40820		3351
216		1724		40832		3347
217		1724		40841		3347
218		1723		40868		3347
219		1718		40885		3347
220		1716		40899		3344
221		1715		40907		3342
222		1713		40912		3344
223		1716		40926		3343
224		1716		40932		3347
225		1709		40945		3347
226		1712		40957		3347
227		1712		40967		3349
228		1705		40973		3341
229		1707		40985		3344
230		1707		40992		3348
231		1706		41000		3345
232		1713		41012		3349
233		1703		41034		3350
234		1706		41046		3350
235		1703		41061		3349
236		1706		41075		3350
237		1709		41099		3352
238		1713		41118		3353
239		1702		41133		3350
240		1700		41150		3349
241		1698		41160		3350
242		1696		41171		3347
243		1703		41181		3346
244		1700		41190		3349
245		1692		41200		3350
246		1692		41206		3349
247		1691		41209		3349
248		1688		41212		3348
249		1688		41215		3348
250		1689		41217		3347
251		1689		41220		3347
252		1691		41223		3346
253		1693		41226		3347
254		1691		41235		3348
