# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
302		1962		212678		1704
303		1962		213200		1704
304		1962		213722		1704
305		1962		214244		1704
306		1961		214765		1703
307		1961		215285		1703
308		1961		215805		1703
309		1960		216326		1705
310		1960		216844		1705
311		1960		217362		1705
312		1960		217880		1705
313		1959		218397		1704
314		1959		218913		1704
315		1959		219429		1704
316		1959		219945		1704
317		1959		220461		1704
318		1959		220977		1704
319		1959		221493		1704
320		1959		222009		1704
321		1959		222525		1704
322		1959		223041		1704
323		1958		223556		1705
324		1958		224070		1705
325		1958		224584		1705
326		1958		225098		1705
327		1958		225612		1705
328		1958		226126		1705
329		1958		226640		1705
330		1958		227154		1705
331		1958		227668		1705
332		1958		228182		1705
333		1958		228696		1705
334		1957		229209		1705
335		1957		229721		1705
336		1957		230233		1705
337		1957		230745		1705
338		1957		231257		1705
339		1957		231769		1705
340		1957		232281		1705
341		1957		232793		1705
342		1957		233305		1705
343		1957		233817		1705
344		1957		234329		1705
345		1957		234841		1705
346		1957		235353		1705
347		1957		235865		1705
348		1957		236377		1705
349		1957		236889		1705
350		1957		237401		1705
351		1957		237913		1705
352		1957		238425		1705
353		1957		238937		1705
354		1957		239449		1705
355		1957		239961		1705
356		1957		240473		1705
357		1956		240986		1706
358		1956		241496		1706
359		1956		242006		1706
360		1956		242516		1706
361		1956		243026		1706
362		1956		243536		1706
363		1956		244046		1706
364		1956		244556		1706
365		1956		245066		1706
366		1956		245576		1706
367		1956		246086		1706
368		1956		246596		1706
369		1956		247106		1706
370		1956		247616		1706
371		1956		248126		1706
372		1956		248636		1706
373		1956		249146		1706
374		1956		249656		1706
375		1956		250166		1706
376		1956		250676		1706
377		1956		251186		1706
378		1956		251696		1706
379		1956		252206		1706
380		1956		252716		1706
381		1956		253226		1706
382		1956		253736		1706
383		1956		254246		1706
384		1956		254756		1706
385		1956		255266		1706
386		1956		255776		1706
387		1956		256286		1706
388		1956		256796		1706
389		1956		257306		1706
390		1955		257815		1706
391		1954		258322		1706
392		1954		258828		1706
393		1954		259334		1706
394		1953		259841		1704
395		1953		260345		1704
396		1953		260849		1704
397		1953		261353		1704
398		1953		261857		1704
399		1953		262361		1704
400		1952		262864		1706
401		2145		263631		1721
402		2135		264452		1719
403		2126		265246		1726
404		2116		266039		1719
