# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
149		1868		36319		3358
150		1865		36331		3355
151		1865		36333		3355
152		1865		36334		3356
153		1863		36336		3355
154		1863		36337		3356
155		1864		36338		3355
156		1865		36341		3355
157		1865		36344		3354
158		1864		36346		3356
159		1867		36349		3355
160		1866		36351		3356
161		1863		36354		3355
162		1865		36358		3353
163		1868		36369		3357
164		1866		36381		3355
165		1864		36385		3357
166		1865		36388		3358
167		1866		36395		3359
168		1867		36404		3359
169		1868		36408		3357
170		1870		36417		3358
171		1865		36428		3358
172		1865		36437		3353
173		1865		36442		3354
174		1864		36452		3355
175		1864		36462		3357
176		1868		36472		3356
177		1863		36484		3357
178		1863		36492		3358
179		1864		36500		3357
180		1861		36506		3356
181		1861		36512		3356
182		1860		36519		3355
183		1859		36526		3359
184		1860		36530		3358
185		1859		36533		3358
186		1857		36538		3357
187		1855		36541		3357
188		1856		36542		3357
189		1856		36542		3357
190		1854		36545		3356
191		1853		36546		3356
192		1854		36547		3356
193		1856		36551		3355
194		1856		36553		3355
195		1859		36559		3354
196		1863		36566		3355
197		1861		36570		3355
198		1857		36576		3355
199		1856		36580		3356
200		1855		36584		3355
201		1855		36588		3356
202		1854		36593		3357
203		1853		36599		3359
204		1853		36603		3359
205		1854		36607		3358
206		1853		36615		3356
207		1853		36621		3356
208		1853		36626		3357
209		1853		36629		3357
210		1855		36631		3357
211		1853		36641		3357
212		1853		36644		3357
213		1852		36648		3357
214		1853		36650		3357
215		1852		36656		3358
216		1852		36659		3358
217		1853		36661		3358
218		1852		36668		3358
219		1852		36675		3358
220		1851		36680		3359
221		1850		36686		3360
222		1848		36688		3360
223		1850		36695		3359
224		1848		36702		3360
225		1846		36703		3360
226		1846		36703		3360
227		1846		36703		3360
228		1846		36703		3360
229		1846		36703		3360
230		1846		36703		3360
231		1846		36703		3360
232		1846		36703		3360
233		1846		36703		3360
234		1846		36703		3360
235		1846		36703		3360
236		1846		36703		3360
237		1846		36703		3360
238		1846		36703		3360
239		1846		36703		3360
240		1846		36703		3360
241		1846		36703		3360
242		1846		36703		3360
243		1846		36703		3360
244		1846		36703		3360
245		1846		36703		3360
246		1846		36703		3360
247		1846		36703		3360
248		1846		36703		3360
249		1846		36703		3360
250		1846		36703		3360
251		1846		36703		3360
252		1846		36703		3360
253		1846		36703		3360
254		1846		36703		3360
255		1846		36703		3360
256		1846		36703		3360
257		1846		36703		3360
258		1846		36703		3360
259		1846		36703		3360
260		1846		36703		3360
261		1846		36703		3360
262		1846		36703		3360
263		1846		36703		3360
264		1846		36703		3360
265		1846		36703		3360
266		1846		36703		3360
267		1846		36703		3360
268		1846		36703		3360
269		1846		36703		3360
270		1846		36703		3360
271		1846		36703		3360
272		1846		36703		3360
273		1846		36703		3360
274		1846		36703		3360
275		1846		36703		3360
276		1846		36703		3360
277		1846		36703		3360
278		1846		36703		3360
279		1846		36703		3360
280		1846		36703		3360
281		1846		36703		3360
282		1846		36703		3360
283		1846		36703		3360
284		1846		36703		3360
285		1846		36703		3360
286		1846		36703		3360
287		1846		36703		3360
288		1846		36703		3360
289		1846		36703		3360
290		1846		36703		3360
291		1846		36703		3360
292		1846		36703		3360
293		1846		36703		3360
294		1846		36703		3360
295		1846		36703		3360
296		1846		36703		3360
297		1846		36703		3360
298		1846		36703		3360
